Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	adjusted_probs
23	3	 hard	3	False	distilbert/distilgpt2	0.0027966178022325	8.482101440429688	3	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	37982	[-0.12490334]
24	4	 after	3	False	distilbert/distilgpt2	0.0018963392358273	9.042567253112791	4	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	152950	[-0.13358858]
25	5	 the	3	False	distilbert/distilgpt2	0.3610053658485412	1.4699076414108276	5	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	6500900	[-0.20432548]
26	6	 long	3	False	distilbert/distilgpt2	0.0004982427926734	10.970863342285156	6	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	73317	[-0.1295944]
27	7	 drought.	3	False	distilbert/distilgpt2	0.1045788370538502	5.152624130249023	7	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3	1452	[-0.02064753]
28	0	The	4	False	distilbert/distilgpt2	1.0	0.0	0	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3	6500900	[0.43466915]
29	1	 ground	4	False	distilbert/distilgpt2	6.13913641700492e-07	20.635459899902344	1	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3	25140	[-0.12682976]
30	2	 was	4	False	distilbert/distilgpt2	0.0116096027195453	6.428537368774414	2	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3	680189	[-0.15957685]
31	3	 solid	4	False	distilbert/distilgpt2	0.0029382857028394	8.410809516906738	3	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3	7280	[-0.12268272]
32	4	 after	4	False	distilbert/distilgpt2	0.0058635333552956	7.414013862609863	4	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3	152950	[-0.12962139]
33	5	 the	4	False	distilbert/distilgpt2	0.3194246590137481	1.6464523077011108	5	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3	6500900	[-0.24590619]
34	6	 long	4	False	distilbert/distilgpt2	0.000786647782661	10.311994552612305	6	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3	73317	[-0.12930599]
35	7	 drought.	4	False	distilbert/distilgpt2	0.1041510080103762	5.986945033073424	7	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3	1452	[-0.02107536]
36	0	The	5	False	distilbert/distilgpt2	1.0	0.0	0	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4	6500900	[0.43466915]
37	1	 frozen	5	False	distilbert/distilgpt2	7.185674633092276e-08	23.730300903320312	1	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4	5523	[-0.12550196]
38	2	 soil	5	False	distilbert/distilgpt2	0.0018829712644219	9.052773475646973	2	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4	10223	[-0.12393731]
39	3	 felt	5	False	distilbert/distilgpt2	0.0001011165295494	13.271693229675291	3	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4	21860	[-0.12650716]
40	4	 hard	5	False	distilbert/distilgpt2	0.0023887592833489	8.709522247314453	4	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4	37982	[-0.1253112]
41	5	 underfoot.	5	False	distilbert/distilgpt2	0.0665255302252868	5.846705436706543	5	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4	406	[-0.05863]
42	0	The	6	False	distilbert/distilgpt2	1.0	0.0	0	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4	6500900	[0.43466915]
43	1	 frozen	6	False	distilbert/distilgpt2	7.185674633092276e-08	23.730300903320312	1	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4	5523	[-0.12550196]
44	2	 soil	6	False	distilbert/distilgpt2	0.0018829712644219	9.052773475646973	2	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4	10223	[-0.12393731]
45	3	 felt	6	False	distilbert/distilgpt2	0.0001011165295494	13.271693229675291	3	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4	21860	[-0.12650716]
46	4	 solid	6	False	distilbert/distilgpt2	0.0016494648298248	9.243785858154297	4	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4	7280	[-0.12397154]
47	5	 underfoot.	6	False	distilbert/distilgpt2	0.0678505625886221	5.8440260887146	5	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4	406	[-0.05730497]
48	0	The	7	False	distilbert/distilgpt2	1.0	0.0	0	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3	6500900	[0.43466915]
49	1	 wood	7	False	distilbert/distilgpt2	5.460011038849188e-07	20.80459213256836	1	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3	11257	[-0.12588975]
50	2	 was	7	False	distilbert/distilgpt2	0.0167610645294189	5.898742198944092	2	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3	680189	[-0.15442539]
51	3	 hard	7	False	distilbert/distilgpt2	0.0026790660340338	8.54405403137207	3	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3	37982	[-0.12502089]
52	4	 and	7	False	distilbert/distilgpt2	0.1906548738479614	2.3909645080566406	4	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3	3155093	[-0.14811756]
53	5	 difficult	7	False	distilbert/distilgpt2	0.0035693806130439	8.130110740661621	5	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3	17469	[-0.12274156]
54	6	 to	7	False	distilbert/distilgpt2	0.6893359422683716	0.5367208123207092	6	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3	3042375	[0.35819611]
55	7	 cut.	7	False	distilbert/distilgpt2	0.1259241290390491	3.3258655071258545	7	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3	31793	[-0.00135675]
56	0	The	8	False	distilbert/distilgpt2	1.0	0.0	0	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3	6500900	[0.43466915]
57	1	 wood	8	False	distilbert/distilgpt2	5.460011038849188e-07	20.80459213256836	1	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3	11257	[-0.12588975]
58	2	 was	8	False	distilbert/distilgpt2	0.0167610645294189	5.898742198944092	2	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3	680189	[-0.15442539]
59	3	 solid	8	False	distilbert/distilgpt2	0.0005324644153006	10.87502670288086	3	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3	7280	[-0.12508854]
60	4	 and	8	False	distilbert/distilgpt2	0.3394679427146911	1.558652639389038	4	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3	3155093	[0.00069551]
61	5	 difficult	8	False	distilbert/distilgpt2	0.0005573313101194	10.80917739868164	5	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3	17469	[-0.12575361]
62	6	 to	8	False	distilbert/distilgpt2	0.91424560546875	0.1293462216854095	6	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3	3042375	[0.58310578]
63	7	 cut.	8	False	distilbert/distilgpt2	0.1499300692230462	3.254517912864685	7	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3	31793	[0.02264919]
64	0	Diamond	9	False	distilbert/distilgpt2	1.0	0.0	0	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4	2857	[0.8746785]
65	1	 is	9	False	distilbert/distilgpt2	0.0023032589815557	8.762107849121094	1	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4	1093553	[-0.19687378]
66	2	 a	9	False	distilbert/distilgpt2	0.2309372425079345	2.114427089691162	2	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4	2959949	[-0.09462118]
67	3	 really	9	False	distilbert/distilgpt2	0.0008407197892665	10.216087341308594	3	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4	57384	[-0.12817303]
68	4	 hard	9	False	distilbert/distilgpt2	0.011822453700006	6.402326583862305	4	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4	37982	[-0.11587751]
69	5	 material.	9	False	distilbert/distilgpt2	0.0773020157648715	6.438725948333741	5	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4	11671	[-0.04861632]
70	0	Diamond	10	False	distilbert/distilgpt2	1.0	0.0	0	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4	2857	[0.8746785]
71	1	 is	10	False	distilbert/distilgpt2	0.0023032589815557	8.762107849121094	1	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4	1093553	[-0.19687378]
72	2	 a	10	False	distilbert/distilgpt2	0.2309372425079345	2.114427089691162	2	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4	2959949	[-0.09462118]
73	3	 really	10	False	distilbert/distilgpt2	0.0008407197892665	10.216087341308594	3	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4	57384	[-0.12817303]
74	4	 solid	10	False	distilbert/distilgpt2	0.0059161530807614	7.401124954223633	4	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4	7280	[-0.11970485]
75	5	 material.	10	False	distilbert/distilgpt2	0.1359951939666643	5.64701908826828	5	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4	11671	[0.01007686]
76	0	The	11	False	distilbert/distilgpt2	1.0	0.0	0	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	6500900	[0.43466915]
77	1	 rock	11	False	distilbert/distilgpt2	1.2827924820157932e-06	19.572280883789062	1	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	15608	[-0.12618364]
78	2	 was	11	False	distilbert/distilgpt2	0.0031789445783942	8.297236442565918	2	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	680189	[-0.16800751]
79	3	 too	11	False	distilbert/distilgpt2	0.0021545076742768	8.858426094055176	3	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	82076	[-0.12853124]
80	4	 hard	11	False	distilbert/distilgpt2	0.0164793413132429	5.923197269439697	4	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	37982	[-0.11122062]
81	5	 to	11	False	distilbert/distilgpt2	0.4393525421619415	1.186548948287964	5	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	3042375	[0.10821271]
82	6	 break	11	False	distilbert/distilgpt2	0.0229857806116342	5.443114280700684	6	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	13589	[-0.10306243]
83	7	 with	11	False	distilbert/distilgpt2	0.0134947663173079	6.211456298828125	7	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	881608	[-0.1713306]
84	8	 a	11	False	distilbert/distilgpt2	0.0160341914743185	5.962704658508301	8	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	2959949	[-0.30952423]
85	9	 hammer.	11	False	distilbert/distilgpt2	0.1120402715168893	4.9939281940460205	9	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4	1700	[-0.01320289]
86	0	The	12	False	distilbert/distilgpt2	1.0	0.0	0	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	6500900	[0.43466915]
87	1	 rock	12	False	distilbert/distilgpt2	1.2827924820157932e-06	19.572280883789062	1	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	15608	[-0.12618364]
88	2	 was	12	False	distilbert/distilgpt2	0.0031789445783942	8.297236442565918	2	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	680189	[-0.16800751]
89	3	 too	12	False	distilbert/distilgpt2	0.0021545076742768	8.858426094055176	3	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	82076	[-0.12853124]
90	4	 dense	12	False	distilbert/distilgpt2	0.0039024832658469	8.001391410827637	4	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	2526	[-0.12139661]
91	5	 to	12	False	distilbert/distilgpt2	0.2739723324775696	1.8678977489471436	5	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	3042375	[-0.0571675]
92	6	 break	12	False	distilbert/distilgpt2	0.0048478688113391	7.688433647155762	6	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	13589	[-0.12120034]
93	7	 with	12	False	distilbert/distilgpt2	0.0038125568535178	8.035025596618652	7	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	881608	[-0.18101281]
94	8	 a	12	False	distilbert/distilgpt2	0.038070123642683	4.71519660949707	8	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	2959949	[-0.2874883]
95	9	 hammer.	12	False	distilbert/distilgpt2	0.1241420421283691	4.989255905151367	9	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4	1700	[-0.00110111]
96	0	The	13	False	distilbert/distilgpt2	1.0	0.0	0	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3	6500900	[0.43466915]
97	1	 ground	13	False	distilbert/distilgpt2	6.13913641700492e-07	20.635459899902344	1	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3	25140	[-0.12682976]
98	2	 was	13	False	distilbert/distilgpt2	0.0116096027195453	6.428537368774414	2	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3	680189	[-0.15957685]
99	3	 hard	13	False	distilbert/distilgpt2	0.0027966178022325	8.482101440429688	3	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3	37982	[-0.12490334]
100	4	 after	13	False	distilbert/distilgpt2	0.0018963392358273	9.042567253112791	4	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3	152950	[-0.13358858]
101	5	 the	13	False	distilbert/distilgpt2	0.3610053658485412	1.4699076414108276	5	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3	6500900	[-0.20432548]
102	6	 long	13	False	distilbert/distilgpt2	0.0004982427926734	10.970863342285156	6	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3	73317	[-0.1295944]
103	7	 drought.	13	False	distilbert/distilgpt2	0.1045788370538502	5.152624130249023	7	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3	1452	[-0.02064753]
104	0	The	14	False	distilbert/distilgpt2	1.0	0.0	0	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3	6500900	[0.43466915]
105	1	 ground	14	False	distilbert/distilgpt2	6.13913641700492e-07	20.635459899902344	1	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3	25140	[-0.12682976]
106	2	 was	14	False	distilbert/distilgpt2	0.0116096027195453	6.428537368774414	2	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3	680189	[-0.15957685]
107	3	 dense	14	False	distilbert/distilgpt2	8.94053082447499e-05	13.44927978515625	3	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3	2526	[-0.12520968]
108	4	 after	14	False	distilbert/distilgpt2	0.0009466756018809	10.044841766357422	4	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3	152950	[-0.13453824]
109	5	 the	14	False	distilbert/distilgpt2	0.3708421587944031	1.431122660636902	5	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3	6500900	[-0.19448869]
110	6	 long	14	False	distilbert/distilgpt2	0.0006182953948155	10.659416198730469	6	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3	73317	[-0.12947434]
111	7	 drought.	14	False	distilbert/distilgpt2	0.0900297538610174	5.359440207481384	7	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3	1452	[-0.03519661]
112	0	The	15	False	distilbert/distilgpt2	1.0	0.0	0	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4	6500900	[0.43466915]
113	1	 frozen	15	False	distilbert/distilgpt2	7.185674633092276e-08	23.730300903320312	1	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4	5523	[-0.12550196]
114	2	 soil	15	False	distilbert/distilgpt2	0.0018829712644219	9.052773475646973	2	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4	10223	[-0.12393731]
115	3	 felt	15	False	distilbert/distilgpt2	0.0001011165295494	13.271693229675291	3	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4	21860	[-0.12650716]
116	4	 hard	15	False	distilbert/distilgpt2	0.0023887592833489	8.709522247314453	4	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4	37982	[-0.1253112]
117	5	 underfoot.	15	False	distilbert/distilgpt2	0.0665255302252868	5.846705436706543	5	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4	406	[-0.05863]
118	0	The	16	False	distilbert/distilgpt2	1.0	0.0	0	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4	6500900	[0.43466915]
119	1	 frozen	16	False	distilbert/distilgpt2	7.185674633092276e-08	23.730300903320312	1	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4	5523	[-0.12550196]
120	2	 soil	16	False	distilbert/distilgpt2	0.0018829712644219	9.052773475646973	2	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4	10223	[-0.12393731]
121	3	 felt	16	False	distilbert/distilgpt2	0.0001011165295494	13.271693229675291	3	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4	21860	[-0.12650716]
122	4	 dense	16	False	distilbert/distilgpt2	0.0002935098600573	11.73430347442627	4	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4	2526	[-0.12500558]
123	5	 underfoot.	16	False	distilbert/distilgpt2	0.064064883471777	5.97961147626241	5	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4	406	[-0.06109065]
124	0	The	17	False	distilbert/distilgpt2	1.0	0.0	0	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3	6500900	[0.43466915]
125	1	 wood	17	False	distilbert/distilgpt2	5.460011038849188e-07	20.80459213256836	1	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3	11257	[-0.12588975]
126	2	 was	17	False	distilbert/distilgpt2	0.0167610645294189	5.898742198944092	2	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3	680189	[-0.15442539]
127	3	 hard	17	False	distilbert/distilgpt2	0.0026790660340338	8.54405403137207	3	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3	37982	[-0.12502089]
128	4	 and	17	False	distilbert/distilgpt2	0.1906548738479614	2.3909645080566406	4	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3	3155093	[-0.14811756]
129	5	 difficult	17	False	distilbert/distilgpt2	0.0035693806130439	8.130110740661621	5	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3	17469	[-0.12274156]
130	6	 to	17	False	distilbert/distilgpt2	0.6893359422683716	0.5367208123207092	6	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3	3042375	[0.35819611]
131	7	 cut.	17	False	distilbert/distilgpt2	0.1259241290390491	3.3258655071258545	7	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3	31793	[-0.00135675]
132	0	The	18	False	distilbert/distilgpt2	1.0	0.0	0	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3	6500900	[0.43466915]
133	1	 wood	18	False	distilbert/distilgpt2	5.460011038849188e-07	20.80459213256836	1	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3	11257	[-0.12588975]
134	2	 was	18	False	distilbert/distilgpt2	0.0167610645294189	5.898742198944092	2	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3	680189	[-0.15442539]
135	3	 dense	18	False	distilbert/distilgpt2	8.653996337670833e-05	13.4962739944458	3	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3	2526	[-0.12521255]
136	4	 and	18	False	distilbert/distilgpt2	0.332609474658966	1.588098645210266	4	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3	3155093	[-0.00616296]
137	5	 difficult	18	False	distilbert/distilgpt2	0.0023685891646891	8.721755981445312	5	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3	17469	[-0.12394235]
138	6	 to	18	False	distilbert/distilgpt2	0.930538535118103	0.1038621291518211	6	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3	3042375	[0.59939871]
139	7	 cut.	18	False	distilbert/distilgpt2	0.1426236871629953	3.2243858575820923	7	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3	31793	[0.01534281]
140	0	Diamond	19	False	distilbert/distilgpt2	1.0	0.0	0	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4	2857	[0.8746785]
141	1	 is	19	False	distilbert/distilgpt2	0.0023032589815557	8.762107849121094	1	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4	1093553	[-0.19687378]
142	2	 a	19	False	distilbert/distilgpt2	0.2309372425079345	2.114427089691162	2	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4	2959949	[-0.09462118]
143	3	 really	19	False	distilbert/distilgpt2	0.0008407197892665	10.216087341308594	3	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4	57384	[-0.12817303]
144	4	 hard	19	False	distilbert/distilgpt2	0.011822453700006	6.402326583862305	4	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4	37982	[-0.11587751]
145	5	 material.	19	False	distilbert/distilgpt2	0.0773020157648715	6.438725948333741	5	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4	11671	[-0.04861632]
146	0	Diamond	20	False	distilbert/distilgpt2	1.0	0.0	0	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4	2857	[0.8746785]
147	1	 is	20	False	distilbert/distilgpt2	0.0023032589815557	8.762107849121094	1	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4	1093553	[-0.19687378]
148	2	 a	20	False	distilbert/distilgpt2	0.2309372425079345	2.114427089691162	2	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4	2959949	[-0.09462118]
149	3	 really	20	False	distilbert/distilgpt2	0.0008407197892665	10.216087341308594	3	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4	57384	[-0.12817303]
150	4	 dense	20	False	distilbert/distilgpt2	0.0002212466933997	12.142056465148926	4	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4	2526	[-0.12507784]
151	5	 material.	20	False	distilbert/distilgpt2	0.112764149904251	4.951945066452026	5	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4	11671	[-0.01315418]
152	0	It	21	False	distilbert/distilgpt2	1.0	0.0	0	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1	1018575	[0.80590003]
153	1	’	21	False	distilbert/distilgpt2	0.1217223808635025	4.55675208568573	1	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1	0	[-0.00340566]
154	2	s	21	False	distilbert/distilgpt2	0.8599870204925537	0.2176131308078766	2	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1	29997	[0.73282776]
155	3	 hard	21	False	distilbert/distilgpt2	0.0031022836919873	8.332453727722168	3	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1	37982	[-0.12459768]
