	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI
15	5	 to	2	False	erwanf/gpt2-mini	0.3570209741592407	1.4859191179275513	5	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
16	6	 break	2	False	erwanf/gpt2-mini	0.0066040414385497	7.242434978485107	6	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
17	7	 with	2	False	erwanf/gpt2-mini	0.0101092960685491	6.628173351287842	7	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
18	8	 a	2	False	erwanf/gpt2-mini	0.0476637706160545	4.390963077545166	8	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
19	9	 hammer.	2	False	erwanf/gpt2-mini	0.1200654366984963	5.812570691108704	9	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
20	0	The	3	False	erwanf/gpt2-mini	1.0	0.0	0	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3
21	1	 ground	3	False	erwanf/gpt2-mini	0.0003732984478119	11.38738250732422	1	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3
22	2	 was	3	False	erwanf/gpt2-mini	0.055216547101736	4.178755283355713	2	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3
23	3	 hard	3	False	erwanf/gpt2-mini	0.0013452394632622	9.537920951843262	3	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3
24	4	 after	3	False	erwanf/gpt2-mini	0.0008042879635468	10.279999732971191	4	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3
25	5	 the	3	False	erwanf/gpt2-mini	0.3464081883430481	1.5294549465179443	5	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3
26	6	 long	3	False	erwanf/gpt2-mini	0.0007109088473953	10.458047866821287	6	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3
27	7	 drought.	3	False	erwanf/gpt2-mini	0.06540568498894571	6.44838297367096	7	2	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3
28	0	The	4	False	erwanf/gpt2-mini	1.0	0.0	0	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3
29	1	 ground	4	False	erwanf/gpt2-mini	0.0003732984478119	11.38738250732422	1	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3
30	2	 was	4	False	erwanf/gpt2-mini	0.055216547101736	4.178755283355713	2	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3
31	3	 solid	4	False	erwanf/gpt2-mini	0.0030354913324117	8.36385440826416	3	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3
32	4	 after	4	False	erwanf/gpt2-mini	0.0028902594931423	8.434584617614746	4	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3
33	5	 the	4	False	erwanf/gpt2-mini	0.2598767280578613	1.9441004991531372	5	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3
34	6	 long	4	False	erwanf/gpt2-mini	0.0011325393570587	9.786222457885742	6	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3
35	7	 drought.	4	False	erwanf/gpt2-mini	0.08216510014608501	6.2054686546325675	7	2	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3
36	0	The	5	False	erwanf/gpt2-mini	1.0	0.0	0	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4
37	1	 frozen	5	False	erwanf/gpt2-mini	1.3944176316726953e-05	16.12997817993164	1	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4
38	2	 soil	5	False	erwanf/gpt2-mini	0.0037935429718345	8.042238235473633	2	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4
39	3	 felt	5	False	erwanf/gpt2-mini	0.0001076662156265	13.181146621704102	3	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4
40	4	 hard	5	False	erwanf/gpt2-mini	0.000932082766667	10.067254066467283	4	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4
41	5	 underfoot.	5	False	erwanf/gpt2-mini	0.07022416824474927	5.503571669260661	5	3	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4
42	0	The	6	False	erwanf/gpt2-mini	1.0	0.0	0	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4
43	1	 frozen	6	False	erwanf/gpt2-mini	1.3944176316726953e-05	16.12997817993164	1	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4
44	2	 soil	6	False	erwanf/gpt2-mini	0.0037935429718345	8.042238235473633	2	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4
45	3	 felt	6	False	erwanf/gpt2-mini	0.0001076662156265	13.181146621704102	3	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4
46	4	 solid	6	False	erwanf/gpt2-mini	0.002563247224316	8.60781192779541	4	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4
47	5	 underfoot.	6	False	erwanf/gpt2-mini	0.059334474615752635	5.707865158716838	5	3	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4
48	0	The	7	False	erwanf/gpt2-mini	1.0	0.0	0	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3
49	1	 wood	7	False	erwanf/gpt2-mini	4.196248846710659e-05	14.540539741516112	1	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3
50	2	 was	7	False	erwanf/gpt2-mini	0.031213941052556	5.0016655921936035	2	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3
51	3	 hard	7	False	erwanf/gpt2-mini	0.0019225234864279	9.022783279418944	3	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3
52	4	 and	7	False	erwanf/gpt2-mini	0.0464043691754341	4.429595470428467	4	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3
53	5	 difficult	7	False	erwanf/gpt2-mini	0.002207082696259	8.823643684387207	5	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3
54	6	 to	7	False	erwanf/gpt2-mini	0.5408087968826294	0.8868093490600586	6	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3
55	7	 cut.	7	False	erwanf/gpt2-mini	0.08975976984947916	5.334812521934509	7	4	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3
56	0	The	8	False	erwanf/gpt2-mini	1.0	0.0	0	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3
57	1	 wood	8	False	erwanf/gpt2-mini	4.196248846710659e-05	14.540539741516112	1	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3
58	2	 was	8	False	erwanf/gpt2-mini	0.031213941052556	5.0016655921936035	2	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3
59	3	 solid	8	False	erwanf/gpt2-mini	0.0020833935122936	8.906848907470703	3	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3
60	4	 and	8	False	erwanf/gpt2-mini	0.2855847179889679	1.8080092668533323	4	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3
61	5	 difficult	8	False	erwanf/gpt2-mini	0.0004202258132863	11.216547012329102	5	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3
62	6	 to	8	False	erwanf/gpt2-mini	0.8064720630645752	0.3103035092353821	6	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3
63	7	 cut.	8	False	erwanf/gpt2-mini	0.09242854837793855	5.25920045375824	7	4	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3
64	0	Diamond	9	False	erwanf/gpt2-mini	1.0	0.0	0	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4
65	1	 is	9	False	erwanf/gpt2-mini	0.0041310717351734	7.919268131256104	1	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4
66	2	 a	9	False	erwanf/gpt2-mini	0.1755687743425369	2.5098915100097656	2	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4
67	3	 really	9	False	erwanf/gpt2-mini	0.0017026726854965	9.197982788085938	3	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4
68	4	 hard	9	False	erwanf/gpt2-mini	0.0142596084624528	6.131921768188477	4	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4
69	5	 material.	9	False	erwanf/gpt2-mini	0.03909141811891455	6.994563937187194	5	5	hard_meaning1_syn1	expected	Diamond is a really hard material.	4
70	0	Diamond	10	False	erwanf/gpt2-mini	1.0	0.0	0	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4
71	1	 is	10	False	erwanf/gpt2-mini	0.0041310717351734	7.919268131256104	1	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4
72	2	 a	10	False	erwanf/gpt2-mini	0.1755687743425369	2.5098915100097656	2	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4
73	3	 really	10	False	erwanf/gpt2-mini	0.0017026726854965	9.197982788085938	3	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4
74	4	 solid	10	False	erwanf/gpt2-mini	0.0075794709846377	7.043686866760254	4	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4
75	5	 material.	10	False	erwanf/gpt2-mini	0.0438395551173016	6.780195713043213	5	5	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4
76	0	The	11	False	erwanf/gpt2-mini	1.0	0.0	0	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
77	1	 rock	11	False	erwanf/gpt2-mini	0.0001840272307163	12.407793045043944	1	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
78	2	 was	11	False	erwanf/gpt2-mini	0.0250010024756193	5.321869850158691	2	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
79	3	 too	11	False	erwanf/gpt2-mini	0.0024567148648202	8.66905403137207	3	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
80	4	 hard	11	False	erwanf/gpt2-mini	0.0243917014449834	5.357465744018555	4	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
81	5	 to	11	False	erwanf/gpt2-mini	0.423286110162735	1.2402948141098022	5	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
82	6	 break	11	False	erwanf/gpt2-mini	0.0097861438989639	6.67504358291626	6	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
83	7	 with	11	False	erwanf/gpt2-mini	0.0052905767224729	7.56235933303833	7	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
84	8	 a	11	False	erwanf/gpt2-mini	0.0192209128290414	5.701179027557373	8	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
85	9	 hammer.	11	False	erwanf/gpt2-mini	0.13046017888700584	5.677282989025116	9	6	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
86	0	The	12	False	erwanf/gpt2-mini	1.0	0.0	0	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
87	1	 rock	12	False	erwanf/gpt2-mini	0.0001840272307163	12.407793045043944	1	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
88	2	 was	12	False	erwanf/gpt2-mini	0.0250010024756193	5.321869850158691	2	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
89	3	 too	12	False	erwanf/gpt2-mini	0.0024567148648202	8.66905403137207	3	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
90	4	 dense	12	False	erwanf/gpt2-mini	0.0036117497365921	8.113085746765137	4	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
91	5	 to	12	False	erwanf/gpt2-mini	0.4087569415569305	1.290684700012207	5	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
92	6	 break	12	False	erwanf/gpt2-mini	0.0090873017907142	6.781932353973389	6	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
93	7	 with	12	False	erwanf/gpt2-mini	0.004869663156569	7.681962013244629	7	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
94	8	 a	12	False	erwanf/gpt2-mini	0.0355326682329177	4.8147101402282715	8	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
95	9	 hammer.	12	False	erwanf/gpt2-mini	0.12406910187564785	5.801154017448425	9	6	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
96	0	The	13	False	erwanf/gpt2-mini	1.0	0.0	0	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3
97	1	 ground	13	False	erwanf/gpt2-mini	0.0003732984478119	11.38738250732422	1	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3
98	2	 was	13	False	erwanf/gpt2-mini	0.055216547101736	4.178755283355713	2	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3
99	3	 hard	13	False	erwanf/gpt2-mini	0.0013452394632622	9.537920951843262	3	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3
100	4	 after	13	False	erwanf/gpt2-mini	0.0008042879635468	10.279999732971191	4	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3
101	5	 the	13	False	erwanf/gpt2-mini	0.3464081883430481	1.5294549465179443	5	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3
102	6	 long	13	False	erwanf/gpt2-mini	0.0007109088473953	10.458047866821287	6	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3
103	7	 drought.	13	False	erwanf/gpt2-mini	0.06540568498894571	6.44838297367096	7	7	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3
104	0	The	14	False	erwanf/gpt2-mini	1.0	0.0	0	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3
105	1	 ground	14	False	erwanf/gpt2-mini	0.0003732984478119	11.38738250732422	1	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3
106	2	 was	14	False	erwanf/gpt2-mini	0.055216547101736	4.178755283355713	2	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3
107	3	 dense	14	False	erwanf/gpt2-mini	0.0005191283416934	10.91162109375	3	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3
108	4	 after	14	False	erwanf/gpt2-mini	0.0007463975925929	10.387767791748049	4	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3
109	5	 the	14	False	erwanf/gpt2-mini	0.2188526839017868	2.1919679641723633	5	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3
110	6	 long	14	False	erwanf/gpt2-mini	0.0005837621865794	10.742331504821776	6	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3
111	7	 drought.	14	False	erwanf/gpt2-mini	0.07056878908770155	6.109722018241883	7	7	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3
112	0	The	15	False	erwanf/gpt2-mini	1.0	0.0	0	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4
113	1	 frozen	15	False	erwanf/gpt2-mini	1.3944176316726953e-05	16.12997817993164	1	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4
114	2	 soil	15	False	erwanf/gpt2-mini	0.0037935429718345	8.042238235473633	2	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4
115	3	 felt	15	False	erwanf/gpt2-mini	0.0001076662156265	13.181146621704102	3	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4
116	4	 hard	15	False	erwanf/gpt2-mini	0.000932082766667	10.067254066467283	4	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4
117	5	 underfoot.	15	False	erwanf/gpt2-mini	0.07022416824474927	5.503571669260661	5	8	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4
118	0	The	16	False	erwanf/gpt2-mini	1.0	0.0	0	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4
119	1	 frozen	16	False	erwanf/gpt2-mini	1.3944176316726953e-05	16.12997817993164	1	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4
120	2	 soil	16	False	erwanf/gpt2-mini	0.0037935429718345	8.042238235473633	2	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4
121	3	 felt	16	False	erwanf/gpt2-mini	0.0001076662156265	13.181146621704102	3	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4
122	4	 dense	16	False	erwanf/gpt2-mini	0.000885241664946	10.141640663146973	4	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4
123	5	 underfoot.	16	False	erwanf/gpt2-mini	0.06481088822086646	5.148427486419678	5	8	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4
124	0	The	17	False	erwanf/gpt2-mini	1.0	0.0	0	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3
125	1	 wood	17	False	erwanf/gpt2-mini	4.196248846710659e-05	14.540539741516112	1	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3
126	2	 was	17	False	erwanf/gpt2-mini	0.031213941052556	5.0016655921936035	2	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3
127	3	 hard	17	False	erwanf/gpt2-mini	0.0019225234864279	9.022783279418944	3	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3
128	4	 and	17	False	erwanf/gpt2-mini	0.0464043691754341	4.429595470428467	4	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3
129	5	 difficult	17	False	erwanf/gpt2-mini	0.002207082696259	8.823643684387207	5	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3
130	6	 to	17	False	erwanf/gpt2-mini	0.5408087968826294	0.8868093490600586	6	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3
131	7	 cut.	17	False	erwanf/gpt2-mini	0.08975976984947916	5.334812521934509	7	9	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3
132	0	The	18	False	erwanf/gpt2-mini	1.0	0.0	0	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3
133	1	 wood	18	False	erwanf/gpt2-mini	4.196248846710659e-05	14.540539741516112	1	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3
134	2	 was	18	False	erwanf/gpt2-mini	0.031213941052556	5.0016655921936035	2	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3
135	3	 dense	18	False	erwanf/gpt2-mini	0.0001772720279404	12.461747169494627	3	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3
136	4	 and	18	False	erwanf/gpt2-mini	0.4334571063518524	1.2060387134552002	4	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3
137	5	 difficult	18	False	erwanf/gpt2-mini	0.0019434944260865	9.00713062286377	5	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3
138	6	 to	18	False	erwanf/gpt2-mini	0.8919967412948608	0.1648895889520645	6	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3
139	7	 cut.	18	False	erwanf/gpt2-mini	0.09224546723999075	5.327592253684998	7	9	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3
140	0	Diamond	19	False	erwanf/gpt2-mini	1.0	0.0	0	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4
141	1	 is	19	False	erwanf/gpt2-mini	0.0041310717351734	7.919268131256104	1	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4
142	2	 a	19	False	erwanf/gpt2-mini	0.1755687743425369	2.5098915100097656	2	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4
143	3	 really	19	False	erwanf/gpt2-mini	0.0017026726854965	9.197982788085938	3	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4
144	4	 hard	19	False	erwanf/gpt2-mini	0.0142596084624528	6.131921768188477	4	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4
145	5	 material.	19	False	erwanf/gpt2-mini	0.03909141811891455	6.994563937187194	5	10	hard_meaning1_syn2	expected	Diamond is a really hard material.	4
146	0	Diamond	20	False	erwanf/gpt2-mini	1.0	0.0	0	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4
147	1	 is	20	False	erwanf/gpt2-mini	0.0041310717351734	7.919268131256104	1	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4
148	2	 a	20	False	erwanf/gpt2-mini	0.1755687743425369	2.5098915100097656	2	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4
149	3	 really	20	False	erwanf/gpt2-mini	0.0017026726854965	9.197982788085938	3	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4
150	4	 dense	20	False	erwanf/gpt2-mini	0.0004335916601121	11.171375274658203	4	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4
151	5	 material.	20	False	erwanf/gpt2-mini	0.0482007856480777	5.047797679901123	5	10	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4
152	0	It	21	False	erwanf/gpt2-mini	1.0	0.0	0	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
153	1	’	21	False	erwanf/gpt2-mini	0.5922844335436821	1.2031261730007827	1	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
154	2	s	21	False	erwanf/gpt2-mini	0.9902450442314148	0.0141424145549535	2	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
155	3	 hard	21	False	erwanf/gpt2-mini	0.022512998431921	5.473097801208496	3	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
156	4	 to	21	False	erwanf/gpt2-mini	0.8377749919891357	0.2553651928901672	4	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
157	5	 learn	21	False	erwanf/gpt2-mini	0.0009114545537158	10.099541664123535	5	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
158	6	 a	21	False	erwanf/gpt2-mini	0.0191182866692543	5.708902835845947	6	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
159	7	 new	21	False	erwanf/gpt2-mini	0.074657455086708	3.743569850921631	7	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
160	8	 language	21	False	erwanf/gpt2-mini	0.137752890586853	2.8598453998565674	8	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
161	9	 as	21	False	erwanf/gpt2-mini	0.0148766683414578	6.070804595947266	9	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
162	10	 an	21	False	erwanf/gpt2-mini	0.0149508053436875	6.063632965087891	10	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
163	11	 adult.	21	False	erwanf/gpt2-mini	0.1869431529194116	2.9682560563087463	11	11	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
164	0	It	22	False	erwanf/gpt2-mini	1.0	0.0	0	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
165	1	’	22	False	erwanf/gpt2-mini	0.5922844335436821	1.2031261730007827	1	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
166	2	s	22	False	erwanf/gpt2-mini	0.9902450442314148	0.0141424145549535	2	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
167	3	 difficult	22	False	erwanf/gpt2-mini	0.005758496467024	7.440092086791992	3	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
168	4	 to	22	False	erwanf/gpt2-mini	0.654576301574707	0.6113666296005249	4	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
169	5	 learn	22	False	erwanf/gpt2-mini	0.0015821072738617	9.303936958312988	5	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
170	6	 a	22	False	erwanf/gpt2-mini	0.0208711251616477	5.582347869873047	6	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
171	7	 new	22	False	erwanf/gpt2-mini	0.0867606922984123	3.5268144607543945	7	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
172	8	 language	22	False	erwanf/gpt2-mini	0.1693659275770187	2.561784267425537	8	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
173	9	 as	22	False	erwanf/gpt2-mini	0.0152704417705535	6.033114433288574	9	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
174	10	 an	22	False	erwanf/gpt2-mini	0.020467909052968	5.61049222946167	10	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
175	11	 adult.	22	False	erwanf/gpt2-mini	0.18198492564260954	2.8799591660499573	11	11	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
176	0	The	23	False	erwanf/gpt2-mini	1.0	0.0	0	12	hard_meaning2_syn1	expected	The hike was hard but rewarding.	3
177	1	 hike	23	False	erwanf/gpt2-mini	1.9484410586301237e-05	15.647319793701172	1	12	hard_meaning2_syn1	expected	The hike was hard but rewarding.	3
178	2	 was	23	False	erwanf/gpt2-mini	0.1100432500243187	3.1838574409484863	2	12	hard_meaning2_syn1	expected	The hike was hard but rewarding.	3
